id,project_code,po_/_so_#,asn/dn_#,country,managed_by,vendor_inco_term,shipment_mode,pq_first_sent_to_client_date,po_sent_to_vendor_date,scheduled_delivery_date,delivered_to_client_date,delivery_recorded_date,product_group,sub_classification,vendor,unit_of_measure_per_pack,line_item_quantity,line_item_value,unit_price,manufacturing_site,weight_kilograms,freight_cost_usd
85500,107-RW-T30,SO-48771,DN-3802,Rwanda,PMO - US,N/A - From RDC,Truck,2014-04-22,2012-06-07,2014-09-30,2014-07-16,2014-07-21,ARV,Pediatric,SCMS from RDC,60,1419,6385.5,0.08,"Aurobindo Unit III, India",71.0,961.06
85501,104-CI-T30,SO-47880,DN-3803,Côte d'Ivoire,PMO - US,N/A - From RDC,Truck,2014-01-29,2012-06-07,2014-11-28,2014-07-09,2014-08-07,ARV,Pediatric,SCMS from RDC,60,2863,11709.67,0.07,Mylan (formerly Matrix) Nashik,1047.0,5869.655000000001
85502,151-NG-T30,SO-48901,DN-3807,Nigeria,PMO - US,N/A - From RDC,Air Charter,2014-04-25,2012-06-07,2014-10-31,2014-06-20,2014-06-25,ARV,Adult,SCMS from RDC,30,7354,34122.56,0.15,Hetero Unit III Hyderabad IN,1047.0,5869.655000000001
85503,109-TZ-T30,SO-46675,DN-3812,Tanzania,PMO - US,N/A - From RDC,Truck,2013-10-01,2012-06-07,2014-08-29,2014-09-23,2014-11-24,ARV,Pediatric,SCMS from RDC,60,17000,63410.0,0.06,Mylan (formerly Matrix) Nashik,931.0,6002.0
85504,105-GY-T30,SO-47741,DN-3816,Guyana,PMO - US,N/A - From RDC,Air,2014-01-16,2012-06-07,2014-07-21,2014-08-25,2014-09-08,ARV,Adult,SCMS from RDC,30,2158,12386.92,0.19,"Aurobindo Unit III, India",196.0,3009.33
85505,111-MZ-T30,SO-48881,DN-3818,Mozambique,PMO - US,N/A - From RDC,Truck,2014-05-02,2012-06-07,2014-12-31,2014-08-15,2014-08-25,ARV,Adult,SCMS from RDC,60,5768,24917.76,0.07,Hetero Unit III Hyderabad IN,592.0,598.91
85506,110-ZM-T30,SO-48000,DN-3819,Zambia,PMO - US,N/A - From RDC,Truck,2014-02-06,2012-06-07,2014-07-31,2014-07-23,2014-08-28,ARV,Adult,SCMS from RDC,30,352500,3799950.0,0.36,Hetero Unit III Hyderabad IN,82137.0,67855.39
85507,110-ZM-T30,SO-48000,DN-3819,Zambia,PMO - US,N/A - From RDC,Truck,2014-02-06,2012-06-07,2014-07-31,2014-07-23,2014-08-28,ARV,Adult,SCMS from RDC,30,106280,1145698.4,0.36,"Aurobindo Unit VII, IN",1047.0,5869.655000000001
85508,113-ZW-T30,SO-47540,DN-3825,Zimbabwe,PMO - US,N/A - From RDC,Truck,2013-12-24,2012-06-07,2014-09-30,2014-06-29,2014-08-04,ARV,Adult,SCMS from RDC,30,75701,350495.63,0.15,"Cipla, Kurkumbh, India",1047.0,5869.655000000001
85509,111-MZ-T30,SO-47050,DN-3827,Mozambique,PMO - US,N/A - From RDC,Truck,2013-10-21,2012-06-07,2014-08-29,2014-08-25,2014-08-28,ARV,Adult,SCMS from RDC,60,150000,1216500.0,0.14,Mylan (formerly Matrix) Nashik,1047.0,5869.655000000001
